"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"AFG","Afghanistan",,,,,,838.000704535831,770.309174116423,943.178748122706,970.716231510975,971.926516743809,1075.79535526504,1121.00333345163,1287.27531546398,1336.54439522081,1575.33212595399,1771.45142820424,1749.93699491677,1994.5352769908,2138.75306025805,2229.67953873833,2289.37198611713,2217.29678631971,2338.77869693875,2436.0063198102,2589.410395542,2568.34190916779,2138.87024713086,2092.87995224662
"ALB","Albania",2665.55725197761,2979.8263588434,2717.1448652579,3021.0349606592,3471.6677890154,3861.30856837761,4300.83610719667,4751.82123659259,5000.30908227047,5427.79655580022,5865.238608149,6566.49056716277,7284.88734345398,8228.13188671656,8812.60473686415,9626.66489321844,10207.1698784161,10525.7225348883,10570.4198326029,11258.4572796244,11658.0457494095,12078.3488244026,12769.7625847853,13497.2493226353,14617.7849093704,14436.4850442823,16261.804554188,19492.7830985692
"DZA","Algeria",7744.58661550614,8066.21826340393,8157.27836075139,8539.67494777637,8813.53956790264,9225.40608014391,9583.3559520468,10120.3885513406,10843.168458703,11473.2136431311,12302.958126663,12863.4278612692,13401.5507976561,13764.0093044859,13765.63899952,14332.8160836934,14784.0331167624,14590.7801122011,14527.2123229728,14862.7932745547,13973.6882681386,13608.2010371415,13674.8741291965,13916.3760986686,14084.1995307289,12848.7626134738,14690.9162300571,16028.287108716
"AND","Andorra",25324.2796820935,26474.1382648709,29129.7077983302,30163.1493663805,31616.4215391604,33249.5649054739,35824.8087730705,36409.4298751362,38686.4794681244,41269.1393502135,43234.7775251052,46481.2058935205,49755.3303169953,49225.3222994355,48301.5892335667,49486.3468172412,51184.5536864212,49232.9702992315,48054.9903306666,49938.6709928819,51035.8875990701,52847.3008681902,53031.6619118219,55354.3891037228,57573.6930490229,51881.2896726873,58829.8500720505,68311.7729810483
"AGO","Angola",2654.63426559513,2968.83952164623,3133.45363715996,3210.30342052341,3221.13288571403,3286.35849348127,3388.52452758099,3783.14284787898,3839.85414345936,4224.13973826134,4836.22688178372,5364.96508745605,6057.77173013173,6616.76877947514,6471.34792224544,6587.40828534919,6700.11409977804,7351.76076688254,7566.4230507907,7999.82685137622,7127.3395733001,6850.38462458694,6998.79618747166,7353.34998821375,7533.51185400503,6455.119982133,7414.27895783202,7928.6414975388
"ATG","Antigua and Barbuda",14946.0970672988,15899.5289245678,16718.475362589,17375.8962205261,17965.9437389293,19191.8560253754,18446.3892863763,18685.2144746388,19984.2044549088,21466.914593072,23299.4261266905,26726.8119448093,29597.9013767743,29716.4698094393,25923.3471167144,23853.5795799163,23584.2714499711,22271.6951485973,21652.9033262642,21558.9997705071,20865.2339089624,21181.6274149752,21217.6292614592,24336.8548617152,26316.833216636,22159.4122861666,25493.1295548691,29711.5633165812
"ARG","Argentina",9925.99540713377,10532.7432102692,11445.4510864597,11881.2989596346,11508.1570461924,11544.408971054,11160.5678020884,9991.38212425664,10975.1282355658,12163.7828857743,13515.2278784799,14898.1981668952,16513.1538593529,17341.267103698,16249.8884353332,18066.4991325769,19322.2271236942,19629.898037089,20108.2057008715,19649.3528905429,20058.3386388829,20248.7213872191,23514.6670870249,24498.378926706,23535.01275094,22302.1504890016,26086.8023552274,29037.4891215021
"ARM","Armenia",1758.82692054521,1909.80539665364,2024.11993649264,2217.21056531473,2347.79958205187,2572.73793698691,2915.77919059888,3382.28439125269,3958.62000318371,4518.79971144599,5340.51717942653,6274.64506162179,7381.44096021784,8099.32935503981,7045.3993604342,7332.43556130171,7881.77173468477,9279.17540037906,9847.93225053577,10153.5556108742,10183.9279276811,11036.7222919191,12605.337955959,13478.7627947124,15729.1496950576,15523.4653938859,16899.0709181676,20445.098880893
"AUS","Australia",21038.6667853022,22132.1929034356,23124.9639117233,24378.2453109245,25485.39144594,26541.6653208437,27645.8140289701,29032.4909555888,30121.8184177337,31763.7960926854,33036.5834770249,34846.7156302418,36653.8417179443,37532.9990434133,40312.3951186945,39374.6321044163,42025.4645815618,42866.6043295085,45936.049310436,46914.3867078836,46292.0954391179,47289.2859136343,48418.558421681,50251.3353381469,52746.7182896307,54064.0794661947,57406.1787604549,65365.948511045
"AUT","Austria",23681.2123261073,24552.0264768985,25422.0232889956,26674.8408048973,27606.4830303088,29379.7422969788,29711.5838626165,31178.6933297272,32146.0152926271,33774.7873879307,35013.7140443423,37661.922416092,39439.6039049819,41316.225176699,40916.9197419528,42002.1571364403,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56937.944282984,60574.6271030491,58610.8343636691,63421.2035870778,70975.7206346934
