"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"AFG","Afghanistan",,,,,,,,13.73297024,6.65036392,9.9371376,15.71056557,18.48848534,16.17664719,18.47561455,21.8033886,15.52872467,21.13860512,21.17189598,22.91737556,21.98381996,16.44546318,18.94781876,19.42013359,19.73445702,19.83023643,16.13204002,19.34802628,
"ALB","Albania",,,,,,1.65561795,4.40931129,3.44509768,4.91155481,3.79111719,3.78141952,4.12586164,4.21789455,2.00321031,2.97321677,1.87579048,1.35891247,1.9006834,1.23372376,0.50567991,0.76664573,0.65934527,0.55059642,0.42088792,0.66455007,0.67609543,0.54438251,
"DZA","Algeria",,,,,,0.052187,0.04628069,0.04450536,0.05022801,0.04680432,0.07937498,0.05232034,0.06622829,0.03665671,0.05150365,0.02814943,0.01970796,0.03197956,0.01982955,0.03547188,0.02688968,0.02016229,0.02824592,0.02606776,0.04732713,0.0416079,0.6317367,
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",,,,,,0.51365387,1.43060005,1.27742219,1.03922689,1.92934799,3.03782797,5.85645962,2.69763899,2.4888041,3.82744431,3.24644613,2.8612268,2.17543125,2.56596041,3.17014694,2.67032242,3.64164376,3.11478901,3.40596294,3.94905806,5.52679968,4.84346294,
"ATG","Antigua and Barbuda",,,,,,0.34878898,0.07303306,0.13711631,0,0.04309067,0.15506251,0.13964188,0.14269018,0.18763787,0.02764631,0.12729101,0.05339933,0,0.23532581,0,0,0.01355033,0.02284085,0.09705941,0.04647173,0.13569869,0.10792457,
"ARG","Argentina",,,,,,0.03062808,0.2007374,1.96734297,0.34346449,6.29007864,1.18307579,0.32621667,0.22942123,0.92570257,0.28787005,0.31598705,0.58026612,0.52099103,0.44593182,0.52839446,0.28386176,0.28183463,0.44271711,0.28029117,0.22744361,0.27920026,1.25958097,
"ARM","Armenia",,,,,,12.78,18.01,7.93,5.23,5.46,11.68,11.57,12.22,5.89,4.59,3.73,3.15,2.96,2.07,1.53,1.08,1.87,1.29,1.22,1,1.1,0.89,
"AUS","Australia",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"AUT","Austria",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"AZE","Azerbaijan",,,,,,2,1.24,0.83,2.66,1.79,0.91,1.7,1.72,1.21,1.14,1.4,1.31,1.7,0.74,0.96,0.79,0.46,0.62,0.61,0.29,0.24,0.37,
"BHS","Bahamas",,,,,,0.65086937,0.61268443,0.59068519,0.56089538,0.54586518,0.50430673,0.68472451,0.64440203,0.60407335,0.56417912,0.56275851,0.56718802,0.57309628,0.5454306,0.55764908,0.58771926,0.54778886,0.47813222,0.52917284,0.5017516,0.40957671,0.46026751,
"BHR","Bahrain",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BGD","Bangladesh",,,,,,7.80901241,9.8304987,9.99173546,9.66122818,10.01664925,9.45324707,8.1403017,8.05371952,8.34587193,9.39119339,8.98498154,8.60315228,9.1232996,9.00814438,8.34512901,7.78335238,6.1627984,6.05031443,5.8310504,5.56311464,5.40653753,7.63718414,
"BRB","Barbados",,,,,,0,0,2.07792068,1.82945526,1.21803546,1.18113172,1.52528644,1.96420276,3.10037875,3.45182085,2.29501486,3.00869179,0.37091264,1.81184709,2.25032759,1.70312703,1.67914236,2.00076103,1.20797849,0.88799089,0.7556951,0.665681,
"BLR","Belarus",,,,,,0.09,0.17,0.14,0.11,0.09,0.07,0.17,0.14,0.21,0.26,0.45,0.29,0.55,0.41,0.3,0.39,0.42,0.38,0.21,0.14,0.3,0.21,
"BEL","Belgium",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BLZ","Belize",,,,,,6.53869915,6.59951687,6.29304361,7.60018206,7.32261896,6.95121765,6.85650015,8.89459419,5.29265976,5.46025944,2.79598165,4.10958052,2.66866302,2.27665639,9.31963253,2.95086503,1.68181753,1.61650598,2.48992467,2.92690039,2.91241622,2.87300754,
"BEN","Benin",,,,,,2.32292247,10.23425674,13.37215424,10.80212402,12.00531864,16.86398506,18.05868149,14.9950037,23.99986267,24.51530457,29.44955063,32.40466309,28.60687256,25.02174568,25.12753487,19.76968575,27.43904686,25.00191116,32.40467834,29.423769,30.06163788,32.0743103,
"BTN","Bhutan",,,,,,8.1200285,18.82071114,8.89116859,11.47806835,17.37087059,19.01649094,29.11174965,20.92226601,15.00100899,9.11180782,11.01529884,9.75923061,8.70930767,9.69053841,8.65128994,5.0743556,4.76110172,11.16815472,6.05179501,6.96480751,5.13653231,22.04894829,
"BOL","Bolivia, Plurinational State of",,,,,,6.25753689,6.40078497,6.96912527,8.92644691,9.21074009,7.61305428,5.74817848,4.57828236,5.93362188,4.00067425,3.5904696,4.65468597,4.42234516,3.52861857,2.66771841,3.0737884,3.23860908,2.30387115,1.62937176,1.13371396,2.76030016,1.45821691,
"BIH","Bosnia and Herzegovina",,,,,,6.84,1.47,1.78,1.29,0.34,0.22,0.44,0.4,0.4,0.95,1.51,2.6,1.89,0.96,0.45,1.69,0.19,0.39,0.42,1.54,1.38,0.66,
"BWA","Botswana",,,,,,16.04449844,14.00440884,13.27278709,12.67182446,11.29105949,11.48691273,10.69620132,14.99626637,12.52663803,7.35743666,5.10271645,4.83636427,4.60987091,8.8375845,7.95071602,7.03000593,5.6654377,9.61172962,8.53515816,9.56364727,5.72427082,5.35573435,
"BRA","Brazil",,,,,,0.31819323,0.28357494,0.31573328,0.1969112,0.53066915,0.06743981,0.10612676,0.08170771,0.05353876,0.14908519,0.24594215,0.33908296,0.12457065,0.06794302,0.13800363,0.08012588,0.07430713,0.06623575,0.08543605,0.14588514,0.14454988,0.13051093,
"BRN","Brunei Darussalam",,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BGR","Bulgaria",,,,,,,,,,,,,,,,,,,,,,,,,,2.03,0.57,
"BFA","Burkina Faso",,,,,,21.29730415,19.59553146,22.19445229,31.74218559,26.69436264,35.38982391,35.40400696,43.06169128,36.67288589,30.97930145,41.42404938,32.62495041,38.21045685,29.5110836,23.60428619,24.67079163,23.47665787,17.99704552,15.18416309,15.79821396,18.15622139,18.08420944,
"BDI","Burundi",,,,,,1.03790939,22.46030045,18.94771004,21.51386452,26.11310005,31.64906693,31.34633064,30.2500782,35.04632187,40.48187637,53.010849,38.2709198,44.30913162,59.31538773,28.02001381,27.99764252,37.90485764,39.94075775,43.06557465,51.33028793,56.58723831,46.72115326,
"KHM","Cambodia",,,,,,2.14746714,7.17333412,7.94373941,10.72493744,16.18535042,14.44062042,19.75038719,30.28106117,16.25931168,16.2416153,13.91023254,11.11300945,19.38586998,18.72117996,22.71261215,20.35761261,18.94985771,9.19444656,6.49763823,6.50484943,6.46349525,14.3882637,
"CMR","Cameroon",,,,,,2.66585445,2.24719167,3.44702578,2.36824727,3.34895253,4.76077461,4.65560436,5.16493273,6.10976124,5.71515942,8.00396538,12.15643501,7.86001873,7.3087163,10.60485649,9.91072655,9.82819176,9.48569965,14.29008865,13.0471077,12.07227898,16.94722176,
