"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"AFG","Afghanistan",0.96592815699517,0.96592815699517,0.96592815699517,0.96592815699517,0.96592815699517,0.96592815699517,0.91641928702366,0.86792080215361,0.8184119321821,0.76991344731205,0.72040457734054,0.67190609247049,0.62239722249898,0.581981818440605,0.522369097454501,0.578950663136226,0.57389873762893,0.312208996350949,0.323323232467003,0.106090435653235,0.287959753915924,0.0232388573335658,0.0232388573335658,0.0666854166963192,0.0232388573335658,0.0232388573335658,0.0232388573335658,0.148526609914529
"ALB","Albania",0,0,0,0,0,0.00606231060875624,0.00606231060875624,0.00606231060875624,0.00606231060875624,0.00606231060875624,0.00606231060875624,0.00606231060875624,0.00606231060875624,0,0.00404154040583759,0.00404154040583759,0.00303115530437812,0.00101038510145933,0.00101038510145933,0,0,0.00101038510145933,0.00101038510145933,0,0,0,0,0
"DZA","Algeria",0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.0141453914204314,0.013135006318972,0.013135006318972,0.00707269571021571,0.0121246212175126,0.0111142361160532,0.0101038510145938,0.0121246212175126,0.00808308081167504,0.00707269571021571,0.00606231060875624,0.00606231060875624,0.00505192550729692,0.00404154040583759,0.00505192550729692,0.00303115530437812,0.0020207702029188,0
"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO","Angola",0.765871906906212,0.765871906906212,0.765871906906212,0.765871906906212,0.765871906906212,0.765871906906212,0.808308081167507,0.744653819775565,0.733539583659512,0.723435732644918,0.713331881630324,0.702217645514271,0.631490688412114,0.621386837397521,0.668874937166112,0.656750315948599,0.660791856354437,0.633511458615033,0.62239722249898,0.68706186899238,0.586023358846442,0.588044129049361,0.576929892933308,0.552680650498283,0.549649495193904,0.535504103773473,0.52337948255596,0.520348327251582
"ATG","Antigua and Barbuda",0.0339105566156302,0.0321859826799425,0.0304957121324802,0.0288466827371541,0.0272465260342659,0.0232388573335658,0.0232388573335658,0,0.021218087130647,0.021218087130647,0.0788100379138319,0,0,0,0.0151557765218907,0.013135006318972,0.0545607954788067,0,0,0,0,0,0,0,0,0,0,0
"ARG","Argentina",0.0622956467939198,0.0589565781099285,0.055651889900428,0.0523884428430634,0.049173868478138,0.0434465593627534,0.0454673295656722,0.039405018956916,0.0373842487539972,0.0353634785510784,0.0333427083481596,0.0303115530437815,0.0282907828408627,0.0252596275364846,0.0222284722321065,0.0121246212175126,0.0101038510145938,0.00909346591313451,0.00707269571021571,0,0.00303115530437812,0.00101038510145933,0,0,0,0,0,0
"ARM","Armenia",0.0111142361160532,0.0111142361160532,0.0111142361160532,0.0111142361160532,0.0111142361160532,0.0111142361160532,0,0.0202077020291877,0.00909346591313451,0.00909346591313451,0.0020207702029188,0.00909346591313451,0.00808308081167504,0.00808308081167504,0.00707269571021571,0.0020207702029188,0.00505192550729692,0.00505192550729692,0.00606231060875624,0.00303115530437812,0,0.0020207702029188,0.00303115530437812,0.00101038510145933,0,0,0,0
"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZE","Azerbaijan",0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0303115530437815,0.0111142361160532,0.0141453914204314,0,0.0121246212175126,0.0101038510145938,0.00909346591313451,0.00505192550729692,0.00505192550729692,0.00303115530437812,0.00101038510145933,0.00101038510145933,0.00101038510145933,0,0,0,0,0,0,0,0,0,0,0
"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD","Bangladesh",0.825100225665586,0.796745372575007,0.784058838732481,0.74014555286557,0.711915174822491,0.68706186899238,0.656750315948599,0.628459533107736,0.601179135368333,0.600168750266874,0.563794886614336,0.500140625222395,0.54055602928077,0.461745991366938,0.433455208526075,0.451642140352344,0.408195580989591,0.348582860003487,0.388998264061862,0.379904798148728,0.26270012637944,0.243502809451711,0.121246212175126,0.132360448291179,0.0788100379138319,0.0383946338554565,0.0101038510145938,0.00606231060875624
"BRB","Barbados",0,0,0,0,0,0,0,0,0,0.00101038510145933,0.00101038510145933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR","Belarus",0,0,0,0,0,0.111142361160532,0.106090435653235,0.101038510145938,0.0959865846386414,0.0909346591313445,0.0858827336240476,0.0798204230152913,0.0747684975079944,0.068706186899238,0.0626438762904818,0.0565815656817254,0.0505192550729692,0.0444569444642129,0.0383946338554565,0.0323323232467003,0.0262700126379439,0.0202077020291877,0.013135006318972,0.00707269571021571,0,0,0,0
"BEL","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLZ","Belize",0.253451084964919,0.244435460762864,0.2354542170353,0.226514137373606,0.217623007490616,0.21218087130647,0.200056250088958,0.191973169277283,0.183890088465608,0.175807007653933,0.166713541740798,0.0909346591313445,0.149536995015989,0.140443529102854,0.132360448291179,0.102048895247398,0.0838619634211288,0.0919450442328038,0.0899242740298851,0.0858827336240476,0.0828515783196694,0.0676958017977787,0.0586023358846442,0.0838619634211288,0.0737581124065349,0.0323323232467003,0.0232388573335658,0.0141453914204314
"BEN","Benin",0.863879261747773,0.863879261747773,0.822558286783376,0.812569332847772,0.802629290147738,0.793152304645616,0.789110764239778,0.773954987717887,0.764861521804753,0.755768055891619,0.746674589978484,0.728487658152215,0.727477273050756,0.717373422036162,0.707269571021568,0.664833396760274,0.637552999020871,0.62239722249898,0.659781471252977,0.665843781861734,0.711311111427406,0.636542613919411,0.661802241455896,0.616334911890224,0.60623106087563,0.596127209861036,0.586023358846442,0.439517519134832
"BTN","Bhutan",0.695144949804056,0.695144949804056,0.695144949804056,0.695144949804056,0.695144949804056,0.695144949804056,0.604210290672711,0.564805271715795,0.595116824759577,0.485995233801963,0.406174810786672,0.407185195888131,0.284928598611546,0.32736477287284,0.287959753915924,0.269772822089655,0.183890088465608,0.0858827336240476,0.127308522783882,0.0868931187255069,0.0464777146671316,0.00707269571021571,0.0232388573335658,0,0,0,0,0
"BOL","Bolivia, Plurinational State of",0.362813832596071,0.293011679423221,0.330088457886993,0.290990909220302,0.293720080625556,0.303115530437815,0.310188226148031,0.363738636525378,0.279876673104249,0.243502809451711,0.320292077162624,0.240471654147333,0.200056250088958,0.154588920523286,0.133370833392639,0.121246212175126,0.118215056870748,0.0969969697401007,0.106090435653235,0.101038510145938,0.0858827336240476,0.0828515783196694,0.0828515783196694,0.0727477273050756,0.0495088699715098,0.0282907828408627,0.0141453914204314,0.00101038510145933
