"ISO3","Name","Value","sign"
"AFG","Afghanistan","0.134892591510032","1"
"ALB","Albania","0.41401835672126","1"
"DZA","Algeria","0.302108318874134","1"
"AND","Andorra","",""
"AGO","Angola","0.257378816436743","1"
"ATG","Antigua and Barbuda","0.109740407579869","0"
"ARG","Argentina","0.178013255301901","0"
"ARM","Armenia","0.110862999545776","0"
"AUS","Australia","0.0670107371553039","0"
"AUT","Austria","-0.139134338301214","-1"
"AZE","Azerbaijan","0.199930061119025","0"
"BHS","Bahamas","-0.0430393191439746","0"
"BHR","Bahrain","0.79393208354921","1"
"BGD","Bangladesh","-0.215699874107593","0"
"BRB","Barbados","0.756015017586591","1"
"BLR","Belarus","-0.278616757504941","0"
"BEL","Belgium","0.190024490563671","1"
"BLZ","Belize","0.00428777305959766","0"
"BEN","Benin","0.282690619816977","1"
"BTN","Bhutan","-0.100649377061941","0"
"BOL","Bolivia, Plurinational State of","-0.067719278634344","-1"
"BIH","Bosnia and Herzegovina","-0.0900668098626353","0"
"BWA","Botswana","0.121101043441818","0"
"BRA","Brazil","0.0967188918010968","1"
"BRN","Brunei Darussalam","0.342771346006678","1"
"BGR","Bulgaria","-0.0554061016743989","0"
"BFA","Burkina Faso","-0.166106476281393","-1"
"BDI","Burundi","0.101967197295555","0"
"KHM","Cambodia","-0.017686474146122","0"
"CMR","Cameroon","-0.0327742542137005","0"
"CAN","Canada","-0.110745416249654","0"
"CPV","Cape Verde","0.126144028415031","1"
"CAF","Central African Republic","0.0398731613723018","0"
"TCD","Chad","0.106868500796701","1"
"CHL","Chile","-0.0333024833678697","0"
"CHN","China","1.1425255135263","1"
"COL","Colombia","0.138971935920486","1"
"COM","Comoros","-0.309144749359704","-1"
"COG","Congo","-0.00849638623517178","0"
"COD","Congo, the Democratic Republic o","0.0893522423832968","0"
"CRI","Costa Rica","0.0924488259626866","1"
"CIV","Cote d'Ivoire","0.32102444564748","1"
"HRV","Croatia","-0.0169890515619254","0"
"CUB","Cuba","0.0982018953680227","1"
"CYP","Cyprus","-0.0218993794158659","0"
"CZE","Czech Republic","-0.132233415636581","-1"
"DNK","Denmark","-0.0799656655460389","0"
"DJI","Djibouti","-0.0247027642469315","0"
"DMA","Dominica","-0.458005942754329","-1"
"DOM","Dominican Republic","0.130279565629197","1"
"ECU","Ecuador","0.0511575953374094","0"
"EGY","Egypt","0.233707559608919","1"
"SLV","El Salvador","0.0883228596617987","0"
"GNQ","Equatorial Guinea","0.16465142949543","1"
"ERI","Eritrea","0.0743032917685743","1"
"EST","Estonia","0.0909941497988214","0"
"ETH","Ethiopia","0.0835071527187742","0"
"FJI","Fiji","0.429855820448554","0"
"FIN","Finland","0.179077121348679","1"
"FRA","France","-0.0186341752917343","0"
"GAB","Gabon","-0.029842185440987","0"
"GMB","Gambia","0.310986336008567","0"
"GEO","Georgia","0.166429075017003","0"
