"ISO3","Name","Value","sign"
"AFG","Afghanistan",0.000784477464574233,0
"ALB","Albania",0.000878277140056387,0
"DZA","Algeria",0.00268411047746578,1
"AND","Andorra",0.0179008686051881,1
"AGO","Angola",0.00509977387750353,1
"ATG","Antigua and Barbuda",0.00119923452920125,0
"ARG","Argentina",-7.78032694093698e-05,0
"ARM","Armenia",0.00221474027646045,0
"AUS","Australia",-0.00045490200908373,0
"AUT","Austria",-0.00341933813762282,-1
"AZE","Azerbaijan",0.00396152326981342,0
"BHS","Bahamas",-0.000653152486018907,0
"BHR","Bahrain",0.0148075980320273,1
"BGD","Bangladesh",0.00161475803220449,0
"BRB","Barbados",0.0168468375856386,1
"BLR","Belarus",-0.00973118907341651,-1
"BEL","Belgium",0.00085813434199899,0
"BLZ","Belize",0.00151625248744603,0
"BEN","Benin",0.00304779340538293,1
"BTN","Bhutan",-0.000524939983170502,0
"BOL","Bolivia, Plurinational State of",-0.000506834885499426,0
"BIH","Bosnia and Herzegovina",-0.00209918134298386,0
"BWA","Botswana",0.00133674493041898,1
"BRA","Brazil",0.00202607316703935,1
"BRN","Brunei Darussalam",0.00651529907553517,1
"BGR","Bulgaria",-0.0019758412051946,-1
"BFA","Burkina Faso",-0.0031967886728867,-1
"BDI","Burundi",0.000942244400682161,0
"KHM","Cambodia",0.000316639300818996,0
"CMR","Cameroon",0.000522664060725176,0
"CAN","Canada",-0.00263633718234585,0
"CPV","Cape Verde",0.00304483373450082,1
"CAF","Central African Republic",-0.00081184210582771,0
"TCD","Chad",0.000905305543235486,0
"CHL","Chile",-0.00126235258086002,0
"CHN","China",0.0221142453434638,1
"COL","Colombia",-0.000136114159961771,0
"COM","Comoros",-0.00314010129586393,-1
"COG","Congo",0.0014552126448435,0
"COD","Congo, the Democratic Republic o",0.00116523709668737,0
"CRI","Costa Rica",0.000597507251951398,0
"CIV","Cote d'Ivoire",0.00694189429377506,1
"HRV","Croatia",0.000152895759149048,0
"CUB","Cuba",0.00230529903273449,1
"CYP","Cyprus",0.000430464055693575,0
"CZE","Czech Republic",-0.00183998050687901,-1
"DNK","Denmark",-0.000223719097343618,0
"DJI","Djibouti",0.00103802546550794,0
"DMA","Dominica",-0.00284776219808207,0
