"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"AFG","Afghanistan",34.7823085160686,34.7759129067231,34.8550361264959,35.0253079706509,35.0191504933302,35.0157243672438,35.4193890709662,35.8281798789678,36.5915650167329,36.2473847546218,33.2860427247291,31.4534261529217,31.3526760228652,31.0517326014097,31.0451463354681,31.8094285473884,30.9861619751533,32.0778147306183,31.9227797042412,32.8731258450475,33.028578742176,33.3146046339394,32.5533733273307,32.4335856772514,32.9906447048386,32.7223354067003,33.006630763939,33.207456275516
"ALB","Albania",43.6766225738957,43.659503355493,43.5966492647092,43.3429570855437,43.0515035819729,43.1910093914019,43.4112235625904,43.8335228821676,43.8075365762798,44.4792637611005,44.1211078476597,43.5942712664272,44.2474539422846,45.0389080514397,46.04021755015,46.5719257187394,46.628944791363,47.4077913807324,48.0351586693694,49.5066756219066,49.9631991831761,49.6255283905599,49.5751526815344,50.1005898519446,50.0257068551729,50.3446071978307,51.1877917185498,51.7571799900884
"DZA","Algeria",45.1127923932982,45.2254302476797,45.1229199417696,45.1214090805595,45.4517339755475,45.731270750393,45.9439481612633,46.138175054306,46.5935630759994,47.1752757137895,47.3663962059711,45.8413458977289,45.8536474422821,46.0102998590063,45.7986578324391,45.3119673749583,44.849571884504,44.9275170246077,45.6583534457279,45.5873205415529,45.8095276778573,46.3052314161791,47.3539746753376,47.3612355352363,47.3820408433226,48.6543516691284,48.2741848857991,48.6665011319576
"AND","Andorra",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AGO","Angola",34.7231529132438,34.712670931379,34.656006732645,34.5986376796869,34.6337752481664,34.6648858260715,34.9461881878328,35.437653721295,36.1014759718217,36.1504519183259,35.6147518089055,34.3031055717587,34.6737348348131,34.9655429866258,35.1595875599077,34.3683329055388,34.3182658672103,35.1094419116591,35.45180390657,35.6044072621265,35.2905201955437,36.6323810028464,36.7046051075519,37.1630256426943,37.3478596933287,37.3588793455526,37.8705868667708,38.0795161577184
"ATG","Antigua and Barbuda",48.4474382910899,48.490284725591,48.5804725748701,48.6250720071502,48.6419044588263,48.7640388806855,48.8664876788492,49.105106797552,49.3091086245702,49.3592454068968,49.9751530717745,49.1746289054824,49.3482949889379,49.7134904049035,49.9031841138951,50.3062842933553,49.862102508436,50.105227004793,50.0206526099809,49.1799802202366,49.3458255678989,49.1242235153955,48.2905226743238,48.8047513229144,49.295450678971,49.061621939544,48.854872777506,49.0753984025133
"ARG","Argentina",49.1027537489918,49.2486823694183,48.9824008169866,48.8018290636085,48.8457249385204,48.9528342064738,47.5996676889077,46.6253248051265,47.2125678925815,47.1361757106643,48.5272971876445,47.400722499398,47.9836882743348,47.6045555965812,47.483564405645,47.9457688208132,48.036248485189,47.7785865036977,47.365009968074,46.946743204752,47.1286098001484,48.8852800945864,49.0291682230655,50.22120353164,50.2136238525796,50.5762798213528,50.2155828807184,50.2061022069771
"ARM","Armenia",48.7226174038474,49.0336582567076,48.5293426641456,49.0296650869005,49.530760139281,49.6498563017512,49.8479397162873,51.598346593125,52.307056896395,51.5897296261789,52.4642048568712,51.7336103026056,51.9877573779507,53.3062666187024,53.0583570780132,53.3901028234637,53.3422332107256,53.7307673580268,54.5285274051253,55.3902817254981,55.7320346927461,56.2112088716829,56.3281285065245,56.5222085593684,57.0300297956402,56.601895317088,56.9206062876871,56.9507577620642
"AUS","Australia",63.5461485917743,63.1235751678114,63.1590671603238,63.3421916765062,63.6887810736361,64.1001168796397,64.430639730845,64.5517167102932,64.83830395083,65.3524270242642,65.6036204974382,67.8211618843713,68.2088552101519,68.6695084856549,68.2734302652881,68.6677255257306,68.8754890352894,69.0181821850517,69.6248779616424,69.734849814793,69.5412770789528,69.467066144056,68.9463365909089,69.7871479722107,69.8486426376574,69.1973974398552,69.7842235177043,69.5474154632604
"AUT","Austria",64.8845245690395,65.1708535324949,65.302465550402,65.3246588860909,65.6283060371629,65.8571715923912,66.2867380629465,66.5867518162838,66.4464911691156,66.7651227712049,67.2262281831431,68.7299184210766,69.369451362151,69.2109296494523,68.3629231373808,68.7964337864733,68.7689193233602,69.2193054505017,69.8937954309952,70.4328802148479,70.4106839192681,69.6161077179658,69.8126066735703,69.859410986684,69.6054258148351,69.6198937511063,69.6100323122153,68.9853999228889
