"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"AFG","Afghanistan",0.722,0.722,0.722,0.722,0.722,0.722,0.82,0.82,0.82,0.82,0.82,0.623,0.701,0.704,0.85,0.875,0.889,0.877,0.546,0.455,0.424,0.435,0.424,0.756,0.666,0.706,0.706,0.706
"AGO","Angola",0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,1.047,1.047,1.047,1.047,1.047,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.446,1.527,0.612,0.612,0.612,0.612,0.612
"ALB","Albania",5.651,5.675,5.713,5.277,5.306,5.309,5.103,4.842,4.829,4.844,4.88,5.451,5.501,5.501,5.498,5.315,5.45,5.731,5.599,5.599,5.599,4.875,4.875,5.819,6.751,7.714,7.714,7.714
"AND","Andorra",4.769,4.769,5.131,5.353,5.59,5.825,5.737,5.96,6.211,5.995,6.529,6.271,6.765,6.765,7.808,7.808,7.808,7.808,7.808,7.808,7.991,7.991,7.991,7.991,7.991,7.991,7.991,7.991
"ARE","United Arab Emirates",5.277,5.242,5.178,5.931,5.21,4.978,5.451,5.553,5.871,5.369,4.843,4.468,4.607,4.523,4.4,4.105,4.479,4.733,5.341,6.209,7.473,8.225,8.493,8.699,8.854,9.236,9.236,9.236
"ARG","Argentina",3.803,3.803,3.803,3.803,3.803,3.803,3.6934,3.6934,3.6934,3.6711,3.6711,3.6711,3.6711,3.6711,3.6711,3.6711,3.6711,3.6711,8.1848,8.1848,8.2193,6.56,6.572,6.572,6.6615,9.342,9.342,9.342
"ARM","Armenia",8.341,8.341,8.341,8.341,8.341,8.341,7.859,7.517,7.236,7.166,7.39,7.528,7.628,7.74,7.744,7.892,8.02,8.101,8.093,8.11,7.996,7.996,9.58,9.58,9.58,9.58,9.58,9.58
"ATG","Antigua and Barbuda",3.917,4.298,4.298,4.298,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,5.134,3.918,3.918,3.918,3.918,3.918,5.297,5.406,5.234,5.22,7.607,7.647,12.475,12.475,12.475,12.475
"AUS","Australia",25.546,13.843,12.821,12.702,12.627,12.561,13.136,12.516,12.58,12.918,12.546,12.608,13.208,13.318,13.911,13.834,14.214,13.531,15.384,15.63,15.765,16.017,19.727,20.017,21.127,20.502,18.922,18.922
"AUT","Austria",8.641,8.837,9.042,9.255,9.399,9.614,9.773,9.944,10.035,10.363,10.549,10.833,10.99,11.207,11.42,11.588,11.733,11.816,11.955,12.114,12.168,12.157,12.291,12.371,15.968,16.122,16.229,16.229
